Kmstand;FzgMarke;Modell;Kraftstoff_diesel;Getriebe;Angebotsart;Preis;Leistung;Baujahr;Anzahl verkaufte Autos;
87400;Citroen;C1;Gasoline;Manual;Used;2.699,00 €;68;2011;;
372333;Renault;Grand Espace;Diesel;Automatic;Used;2.699,00 €;173;2011;;
142000;Chevrolet;Spark;Gasoline;Manual;Used;2.699,00 €;68;2011;;
117500;Renault;Clio;Gasoline;Manual;Used;2.700,00 €;75;2012;;
118600;Fiat;Panda;Gasoline;Manual;Used;2.700,00 €;69;2011;;
159971;Renault;Twingo;Gasoline;Manual;Used;2.700,00 €;75;2012;;
112000;Ford;Ka/Ka+;Gasoline;Manual;Used;2.700,00 €;69;2012;;
238623;SEAT;Ibiza;Diesel;Manual;Used;2.700,00 €;75;2011;;
167510;Opel;Corsa;Gasoline;Manual;Used;2.700,00 €;69;2011;;
160000;Fiat;Punto Evo;Gasoline;Manual;Used;2.700,00 €;69;2012;;
85000;Hyundai;i10;Gasoline;Manual;Used;2.700,00 €;69;2012;;
225000;Ford;Transit Connect;Diesel;Manual;Used;2.700,00 €;110;2012;;
163000;Volkswagen;up!;Gasoline;Manual;Used;2.700,00 €;60;2015;;
123097;Hyundai;i20;Gasoline;Manual;Used;2.700,00 €;77;2011;;
194563;Ford;Ka/Ka+;Gasoline;Manual;Used;2.735,00 €;69;2014;;
89500;Peugeot;206;Gasoline;Manual;Used;2.740,00 €;75;2011;;
68000;Fiat;Panda;Gasoline;Manual;Used;2.740,00 €;69;2011;;
119000;Fiat;Panda;Gasoline;Manual;Used;2.750,00 €;69;2013;;
98215;Peugeot;206;Gasoline;Manual;Used;2.750,00 €;60;2012;;
145000;Ford;Ka/Ka+;Gasoline;Manual;Used;2.750,00 €;69;2011;;
95000;Nissan;Pixo;Gasoline;Manual;Used;2.750,00 €;68;2011;;
188000;Opel;Astra;Diesel;Manual;Used;2.750,00 €;160;2011;;
202136;Renault;Twingo;Diesel;Manual;Used;2.750,00 €;75;2011;;
163000;Fiat;Punto Evo;Gasoline;Manual;Used;2.750,00 €;68;2011;;
161000;Mitsubishi;Colt;Gasoline;Manual;Used;2.750,00 €;75;2012;;
172778;Renault;Clio;Gasoline;Manual;Used;2.750,00 €;75;2012;;
399999;Mercedes-Benz;A 180;Diesel;Manual;Used;2.780,00 €;109;2011;;
94000;Renault;Twingo;Gasoline;Manual;Used;2.790,00 €;75;2011;;
238000;Ford;Fiesta;Diesel;Manual;Used;2.790,00 €;95;2011;;
