AthleteID;Name;Sex;CountryID
28386;"Valery Antonovich Didenko";"M";18
28398;"Viktor Ivanovich Diduk";"M";18
28626;"Anatoly Dimov";"M";18
28656;"Stanislav Anatolyevich Dineykin";"M";18
28656;"Stanislav Anatolyevich Dineykin";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28690;"Sergey Viktorovich Diomidov";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28790;"Aleksandr Nikolayevich Dityatin";"M";18
28903;"Denis Sergeyevich Dmitriyev";"M";18
28903;"Denis Sergeyevich Dmitriyev";"M";18
28903;"Denis Sergeyevich Dmitriyev";"M";18
28903;"Denis Sergeyevich Dmitriyev";"M";18
28903;"Denis Sergeyevich Dmitriyev";"M";18
28903;"Denis Sergeyevich Dmitriyev";"M";18
28903;"Denis Sergeyevich Dmitriyev";"M";18
28904;"Roman Mikhaylovich Dmitriyev";"M";18
28904;"Roman Mikhaylovich Dmitriyev";"M";18
28905;"Yury Dmitriyev";"M";18
28905;"Yury Dmitriyev";"M";18
28912;"Stepan Dmitriyevsky";"M";18
28913;"Sergey Dmitryaychev";"M";18
28916;"Hryhoriy Mykolaiovych Dmytrenko";"M";18
28974;"Igor Ivanovich Doborovolsky";"M";18
28998;"Gennady Konstantinovich Dobrokhotov";"M";18
29000;"Aleksandr Mikhaylovich Dobroskok";"M";18
29000;"Aleksandr Mikhaylovich Dobroskok";"M";18
29000;"Aleksandr Mikhaylovich Dobroskok";"M";18
29000;"Aleksandr Mikhaylovich Dobroskok";"M";18
29000;"Aleksandr Mikhaylovich Dobroskok";"M";18
29001;"Dmitry Mikhaylovich Dobroskok";"M";18
29001;"Dmitry Mikhaylovich Dobroskok";"M";18
29001;"Dmitry Mikhaylovich Dobroskok";"M";18
29002;"Leonid Dobroskokin";"M";18
29010;"Aleksandr Nikolayevich Dobrzhansky";"M";18
29010;"Aleksandr Nikolayevich Dobrzhansky";"M";18
29010;"Aleksandr Nikolayevich Dobrzhansky";"M";18
29010;"Aleksandr Nikolayevich Dobrzhansky";"M";18
29010;"Aleksandr Nikolayevich Dobrzhansky";"M";18
29010;"Aleksandr Nikolayevich Dobrzhansky";"M";18
29010;"Aleksandr Nikolayevich Dobrzhansky";"M";18
29134;"Aleksandr Dmitriyevich Dokhlyakov";"M";18
29178;"Aleksandr Ivanovich Dolgushin";"M";18
29178;"Aleksandr Ivanovich Dolgushin";"M";18
29178;"Aleksandr Ivanovich Dolgushin";"M";18
29182;"Volodymyr Henrikhovych Dolhov";"M";18
29182;"Volodymyr Henrikhovych Dolhov";"M";18
29184;"Valery Alekseyevich Dolinin";"M";18
29184;"Valery Alekseyevich Dolinin";"M";18
29218;"Vyacheslav Grigoryevich Domani";"M";18
29224;"Aleksandr Ivanovich Domashev";"M";18
29224;"Aleksandr Ivanovich Domashev";"M";18
29363;"Stanislav Yuryevich Donets";"M";18
29363;"Stanislav Yuryevich Donets";"M";18
29435;"Yevgeny Yevganyevich Donskoy";"M";18
29538;"Vladimir Vyacheslavovich Dorokhov";"M";18
29538;"Vladimir Vyacheslavovich Dorokhov";"M";18
29612;"Farid Abdulovych Dosaiev";"M";18
29617;"Valeriy Andriyovych Dosenko";"M";18
29753;"Dmitry Aleksandrovich Dovgalyonok";"M";18
29754;"Mikhail Dzhavanshirovich Dovgalyuk";"M";18
29760;"Mykola Anatoliyovych Dovhan";"M";18
29760;"Mykola Anatoliyovych Dovhan";"M";18
29856;"Leonid Vadimovich Drachevsky";"M";18
29939;"Yevgeny Yuryevich Drattsev";"M";18
29939;"Yevgeny Yuryevich Drattsev";"M";18
29995;"Aleksandr Konstantinovich Dreval";"M";18
29995;"Aleksandr Konstantinovich Dreval";"M";18
29996;"Dmitry Nikolayevich Drevin";"M";18
29996;"Dmitry Nikolayevich Drevin";"M";18
29996;"Dmitry Nikolayevich Drevin";"M";18
30056;"Viktor Mikhaylovich Drobinsky";"M";18
30056;"Viktor Mikhaylovich Drobinsky";"M";18
30104;"Aleksey Vasilyevich Drozdov";"M";18
30138;"Ilya Andreyevich Druzhinin";"M";18
30155;"Aleksey Nikolayevich Dryomin";"M";18
30314;"Boris Yakovlevich Dubrovsky";"M";18
30393;"Nikolay Afanasyevich Dudkin";"M";18
30480;"Dmitry Yevgenyevich Dugin";"M";18
30480;"Dmitry Yevgenyevich Dugin";"M";18
30495;"Ihor Oleksiyovych Duhinets";"M";18
30536;"Yevgeny Vasilyevich Duleyev";"M";18
30536;"Yevgeny Vasilyevich Duleyev";"M";18
30558;"Aleksandr Andreyevich Dumchev";"M";18
30559;"Yury Eduardovich Dumchev";"M";18
30559;"Yury Eduardovich Dumchev";"M";18
30614;"Andrey Yevgenyevich Dunayev";"M";18
30614;"Andrey Yevgenyevich Dunayev";"M";18
30615;"Vitaly Vladimirovich Dunaytsev";"M";18
30640;"Voldemar Petrovich Dundur";"M";18
30768;"slam Duquiyev";"M";18
30904;"Nikolay Dutov";"M";18
30904;"Nikolay Dutov";"M";18
30954;"Talant Mushanbetovich Duyshebayev";"M";18
30957;"Boris Ivanovich Duyunov";"M";18
30982;"Valeriy Vasylovych Dvoinikov";"M";18
31003;"Ivan Vasilyevich Dvorny";"M";18
31006;"Valery Yegorovich Dvoryaninov";"M";18
31006;"Valery Yegorovich Dvoryaninov";"M";18
31021;"Aleksandr Igorevich Dyachenko";"M";18
31022;"Aleksey Vladimirovich Dyachenko";"M";18
31022;"Aleksey Vladimirovich Dyachenko";"M";18
31030;"Vladimir Fyodorovich Dyatchin";"M";18
31030;"Vladimir Fyodorovich Dyatchin";"M";18
31034;"Heorhiy Dybenko";"M";18
31064;"Maksim Sergeyevich Dyldin";"M";18
31064;"Maksim Sergeyevich Dyldin";"M";18
31064;"Maksim Sergeyevich Dyldin";"M";18
31064;"Maksim Sergeyevich Dyldin";"M";18
31071;"Grigory Dyomin";"M";18
31073;"Sergey Dyomin";"M";18
31079;"Vitaliy Fedorovych Dyrdyra";"M";18
31095;"Savkuz Dzaboyevich Dzarasov";"M";18
31100;"Roman Dzeneladze";"M";18
31105;"Magomed Radzhabovich Dzhafarov";"M";18
31109;"Kamil Aliyevich Dzhamaludinov";"M";18
31122;"Satymkul Dzhumanazarov";"M";18
31146;"Aslanbek Antonovich Dzitiyev";"M";18
31152;"Revaz Dzodzuashvili";"M";18
31160;"Igor Dzyuba";"M";18
31355;"Endel Edasi";"M";18
31374;"Umar Edelkhanov";"M";18
31416;"Teymuraz Viktorovich Edisherashvili";"M";18
32515;"Robert Emmiyan";"M";18
32658;"Vladimir Engibaryan";"M";18
32658;"Vladimir Engibaryan";"M";18
32667;"August Englas";"M";18
32844;"Allan Richardovich Erdman";"M";18
33572;"Pavel Pavlovich Eygel";"M";18
33703;"Arsen Suleymanovich Fadzayev";"M";18
33703;"Arsen Suleymanovich Fadzayev";"M";18
33895;"Grigory Alekseyevich Falko";"M";18
33895;"Grigory Alekseyevich Falko";"M";18
34023;"Johan Frber";"M";18
34111;"Nikolajs Frnasts";"M";18
34113;"Irbek Valentinovich Farniyev";"M";18
34317;"Andrey Maksimovich Favorsky";"M";18
34317;"Andrey Maksimovich Favorsky";"M";18
34317;"Andrey Maksimovich Favorsky";"M";18
34317;"Andrey Maksimovich Favorsky";"M";18
34317;"Andrey Maksimovich Favorsky";"M";18
34317;"Andrey Maksimovich Favorsky";"M";18
34318;"Lev Ivanovich Favorsky";"M";18
34401;"Vasily Georgiyevich Fedin";"M";18
34403;"Yury Nikolayevich Fedkin";"M";18
34407;"Nikita Viktorovich Fedorenko";"M";18
34409;"Andrey Romanovich Fedoriv";"M";18
